"subject_id" "labels" "mean(body_acc_x_V1:body_acc_x_V128)" "mean(body_acc_y_V1:body_acc_y_V128)" "mean(body_acc_z_V1:body_acc_z_V128)" "mean(body_gyro_x_V1:body_gyro_x_V128)" "mean(body_gyro_y_V1:body_gyro_y_V128)" "mean(body_gyro_z_V1:body_gyro_z_V128)" "mean(total_acc_x_V1:total_acc_x_V128)" "mean(total_acc_y_V1:total_acc_y_V128)" "mean(total_acc_z_V1:total_acc_z_V128)"
3 "WALKING_DOWNSTAIRS" -0.06266187 0.04934029 -0.04554359 -0.3171645 -0.03396642 0.1781189 0.9237944 -0.185913 -0.1583507
3 "WALKING_UPSTAIRS" 0.06901042 -0.4028336 -0.08840783 0.4434053 0.3408558 0.4202906 1.066605 -0.643607 -0.2524351
4 "LAYING" -0.4034982 0.05853916 0.05067679 0.214404 -0.0692247 0.3434671 0.04035472 0.7924136 0.4600979
4 "SITTING" -0.03961074 0.1135933 0.02743499 -0.0002239356 -0.1167728 -0.06189543 0.9687539 0.213929 0.1920353
4 "STANDING" 0.06131741 0.1481802 0.2305937 0.2680972 0.5342797 0.2333362 1.083448 -0.1129645 0.0741953
4 "WALKING" -0.06396402 0.08225334 -0.1367882 -0.3744371 0.04627051 -0.3326285 0.9494354 -0.04842266 0.02264928
4 "WALKING_DOWNSTAIRS" 0.03560554 0.1640052 -0.05041764 0.4313078 -0.2722294 0.05000754 1.045034 0.07171768 0.07885801
4 "WALKING_UPSTAIRS" -0.04781394 -0.04275102 0.1850419 -0.1688803 -0.1454265 0.2762779 0.9712308 -0.1594205 0.3022091
5 "LAYING" -0.2899089 0.02317998 0.009332512 0.01582345 -0.1456891 0.3167421 -0.09109372 0.9600611 0.2213405
5 "SITTING" 0.004151419 0.5601313 -0.1158829 -0.1275093 -0.1447575 -0.06618103 0.9161813 0.4805744 0.05461647
5 "STANDING" 0.102435 0.05632035 -0.07197643 0.02021237 0.1297493 -0.7460137 1.040363 -0.1104193 0.1813106
5 "WALKING" 0.4288784 0.1951251 -0.1706926 -0.5232484 0.6631157 -0.4047749 1.452958 0.1296867 -0.2319159
5 "WALKING_DOWNSTAIRS" -0.325495 0.03040418 -0.02614605 0.3226909 0.9948348 -0.3247099 0.694351 -0.03785777 -0.01831638
5 "WALKING_UPSTAIRS" -0.02798652 0.08115571 -0.1339021 0.3096673 -0.1433538 0.1684886 0.9862899 -0.006491935 -0.1400607
6 "LAYING" -0.04341847 -0.01219981 -0.005586137 0.2301242 -0.01761099 0.413331 0.1023908 0.948378 0.2897854
6 "SITTING" -0.01169015 0.1958365 0.05311063 -0.3226662 -0.932087 -0.1339572 0.9473515 0.2408143 0.2344093
6 "STANDING" -0.009770691 -0.02410678 0.04226008 0.1435336 0.1914446 0.1130262 1.013647 -0.1453415 0.1217054
6 "WALKING" 0.06350102 0.1523039 0.07208553 0.3696826 -0.2242354 0.1803549 1.077789 -0.04854142 0.1137939
6 "WALKING_DOWNSTAIRS" -0.270441 0.1479949 -0.0249451 -0.328474 0.429052 -0.1807768 0.7450099 -0.03623922 0.002303644
6 "WALKING_UPSTAIRS" -0.05133627 0.02168477 0.1536489 -0.9757944 0.3281673 -0.02085262 0.9661698 -0.1368205 0.1739384
7 "LAYING" -0.8578628 -0.03321688 0.2852966 0.91882 -0.7191188 -0.3044991 -0.2396197 0.1189126 1.089886
7 "SITTING" 0.0696893 0.200378 0.279714 -0.09449556 -0.0244782 -0.07429381 1.018495 0.02241152 -0.02295407
7 "STANDING" -0.04753928 -0.004649534 0.0006409973 -0.8407677 0.1875307 0.0624283 0.9642812 -0.1092152 -0.1922465
7 "WALKING" -0.1263661 0.0235756 5.405114e-05 -0.01526662 0.513098 -0.1122025 0.8542089 -0.07437555 -0.2955766
7 "WALKING_DOWNSTAIRS" -0.07942149 0.1215275 0.03716963 -0.5261027 -0.1586818 0.1072394 0.9009044 0.001721912 -0.2591023
7 "WALKING_UPSTAIRS" 0.3129447 -0.1113909 -0.02754004 -0.7307763 0.590241 0.732906 1.245095 -0.2294465 -0.4436048
8 "LAYING" 0.04921274 -0.04406546 0.01925428 0.1118998 0.1672631 0.41299 0.1667205 0.8516095 0.5016936
8 "SITTING" -0.1379052 0.4736968 0.1896306 0.1509467 0.1144133 -0.2359466 0.8161483 0.4011484 0.3953998
8 "STANDING" -0.000720192 0.1632837 0.1286981 0.08932319 0.556363 -0.002415187 1.012867 -0.01606442 -0.0275413
8 "WALKING" 0.04685237 -0.1610987 -0.0003461697 0.6073644 0.9977036 0.03768855 1.061671 -0.3824585 -0.06132274
8 "WALKING_DOWNSTAIRS" -0.1602264 0.227081 -0.2009831 -0.6274431 0.0334593 0.5634509 0.8491154 0.01929248 -0.1586324
8 "WALKING_UPSTAIRS" -0.1757069 -0.150216 0.2952718 0.485804 0.4246753 -0.3096368 0.8255475 -0.3958305 0.2549736
9 "LAYING" -0.756142 0.1077232 0.2255682 0.01165404 -0.4696156 0.1190112 -0.1531223 0.2998872 0.9434692
9 "SITTING" -0.02925739 0.116773 0.1074864 0.07043899 0.1019825 -0.01384431 1.008392 0.09873884 0.1739843
9 "STANDING" -0.04810594 -0.005657352 -0.104935 0.2810489 -0.09727383 0.1155907 0.9535095 -0.0578003 0.0734977
9 "WALKING" 0.06881876 -0.1138656 -0.2311962 0.5050788 0.4594032 0.2957319 1.087656 -0.1360476 -0.1366431
9 "WALKING_DOWNSTAIRS" -0.1299818 0.1061946 -0.05112948 -0.5237725 0.5405405 0.2224216 0.8915708 0.0290273 -0.02949556
9 "WALKING_UPSTAIRS" -0.1246657 0.1282824 0.08385543 -0.9523731 0.1804174 -0.4707509 0.8932954 0.009689941 -0.07308949
10 "LAYING" 0.1270516 -0.05787255 -0.05193769 0.08248208 -0.1090355 0.473236 0.01058895 0.8905446 0.2901748
10 "SITTING" -0.1317227 0.5158738 0.09026808 -0.07968946 -0.03867736 0.225462 0.7936357 0.5662881 0.2505216
10 "STANDING" -0.008672101 -0.0115444 0.04609633 0.7723965 0.05967152 0.1171489 1.017078 -0.1999712 0.05541577
10 "WALKING" 0.1275182 0.1160654 -0.05869162 0.1063941 0.6238889 -0.2984017 1.138715 -0.07117679 -0.003327371
10 "WALKING_DOWNSTAIRS" -0.1961889 -0.1587986 0.08146733 -0.376158 0.3352881 -0.2480928 0.8191742 -0.3237921 0.1235531
10 "WALKING_UPSTAIRS" 0.07312461 -0.08575845 -0.08078454 0.4374542 0.17711 -0.4080561 1.090753 -0.3003947 -0.0773384
11 "LAYING" -0.09881093 0.01897334 -0.07360629 0.2237814 0.2275058 0.3815022 0.2350269 0.9496364 0.1929608
11 "SITTING" -0.02758417 0.4422924 -0.07104568 -0.08437674 0.04976793 0.1077683 0.9164597 0.3532181 0.2209354
11 "STANDING" -0.01936702 -0.07691082 0.01292622 -0.04939993 -0.05116774 -0.0933069 0.9681966 -0.2351355 0.2438454
11 "WALKING" -0.02287803 -0.08367247 0.06719467 -0.41149 0.1913264 -0.3524319 0.9858262 -0.2605687 0.2118353
11 "WALKING_DOWNSTAIRS" 0.4053449 -0.1477837 -0.1101117 -0.7050986 0.7044452 0.02331208 1.387449 -0.3592838 0.06197293
11 "WALKING_UPSTAIRS" -0.05831321 0.1824405 0.2182008 0.2267943 -0.1282534 -0.05214551 0.9416011 -0.03814306 0.3710664
12 "LAYING" -0.6850148 0.3336705 0.2733667 -0.3742269 -0.169122 0.09561438 0.09955956 0.7142197 0.7300535
12 "SITTING" -0.06658922 0.139212 0.09168352 -0.03187585 -0.04558077 0.117645 0.9055337 0.3070053 0.3031338
12 "STANDING" 0.01159884 -0.0242425 0.1151826 -0.003897567 0.009426722 0.007471929 1.022415 -0.138391 -0.05957018
12 "WALKING" 0.03848975 0.05559039 0.1348879 -0.8827903 -0.04950273 -0.2576695 1.055944 -0.1208738 0.0369773
12 "WALKING_DOWNSTAIRS" -0.0378787 0.1498081 0.1107713 -0.8438848 0.1061297 -0.005608932 0.9707576 -0.06303861 0.01965605
12 "WALKING_UPSTAIRS" 0.02008678 0.1959791 0.1216812 -0.6495786 0.1507952 -0.1835338 1.031037 0.01469319 -0.06866842
13 "LAYING" -0.1405854 -0.1574889 0.172238 0.04907264 -0.1869469 0.4414162 0.2572714 0.4401352 0.8643725
13 "SITTING" 0.1335068 0.3927143 0.6876817 0.01429596 0.1196871 -0.05138958 0.9644351 0.1089574 0.2647388
13 "STANDING" 0.01905785 0.01427157 -0.06310963 -0.02165284 0.2164181 -0.02530166 1.023639 -0.1881713 -0.162203
13 "WALKING" -0.2087687 -0.07461589 0.02369509 0.4301347 -0.5269778 -0.5955354 0.7738263 -0.3156435 -0.2138511
13 "WALKING_DOWNSTAIRS" -0.06372261 0.02079992 0.02491374 -0.09824442 0.1571972 -0.2549934 0.905167 -0.214848 -0.2281989
13 "WALKING_UPSTAIRS" 0.01670851 0.03872914 0.03509052 -0.7884273 0.06398057 0.3485457 0.969202 -0.2287564 -0.2656183
14 "LAYING" -0.3822812 0.1927574 0.1874391 0.5230237 -0.03945312 0.2724721 0.3217631 0.5629043 0.7637535
14 "SITTING" 0.008572327 0.1735341 0.04155167 -0.09260479 0.04832222 0.2585365 1.027026 0.04979992 0.05558542
14 "STANDING" 0.1156841 0.1465787 0.120371 0.1346583 0.4206033 -0.2497467 1.029602 -0.181548 -0.1557559
14 "WALKING" -0.1744901 -0.1463777 -0.107635 0.1397884 0.54698 0.03433016 0.7657811 -0.3480478 -0.4859352
14 "WALKING_DOWNSTAIRS" -0.05647216 0.03377509 0.1302838 0.3854197 0.7138178 -0.0444949 0.8580044 -0.2370862 -0.2807096
14 "WALKING_UPSTAIRS" -0.09320147 0.2923827 -0.07049457 0.4650788 -0.715366 -0.5163817 0.840836 0.02656375 -0.432283
15 "LAYING" -0.2263762 -0.02957791 0.0503482 0.1436526 -0.009652387 0.4071298 0.0715395 0.8333759 0.4668237
15 "SITTING" -0.1107392 0.6992478 0.374958 0.07727967 0.2354828 0.01582203 0.8525402 0.4561177 0.320608
15 "STANDING" -0.004095788 -0.01299626 -0.04444531 0.02812524 0.2284684 -0.01725436 1.039023 -0.1272828 0.02147702
15 "WALKING" 0.02480477 0.08819057 -0.04318441 -0.132955 0.2912216 0.06577111 1.027215 -0.1503172 0.07842358
15 "WALKING_DOWNSTAIRS" -0.2468998 0.08624586 -0.03897781 0.1924168 0.2777419 0.1246142 0.7542227 -0.1625122 0.04063557
15 "WALKING_UPSTAIRS" 0.0317478 0.2605457 -0.048513 0.538838 -0.3540819 0.1376643 1.033876 0.01581172 0.03614763
16 "LAYING" 0.02833319 0.1423389 -0.105734 -0.03107231 -0.3809362 0.1593727 0.2801483 0.4382542 0.8520323
16 "SITTING" 0.2957561 0.3071276 0.4150078 0.07799682 0.0500792 -0.05440316 0.9808696 -0.08137076 -0.241502
16 "STANDING" 0.0007303514 0.003097957 0.036657 0.1113294 0.1235729 0.05243707 1.000961 -0.1588854 -0.150473
16 "WALKING" 0.01966963 0.004822021 -0.06404783 0.2189208 0.2993266 0.3523689 0.9999584 -0.1606412 -0.3400836
16 "WALKING_DOWNSTAIRS" -0.1553487 0.1327324 0.001533806 -0.2901567 0.1831001 -0.05830179 0.8230611 -0.06759465 -0.2322487
16 "WALKING_UPSTAIRS" 0.1936689 -0.1623258 0.04518444 0.58985 -0.3929018 -0.08968532 1.155244 -0.3776432 -0.2644158
17 "LAYING" 0.05132272 0.04201928 -0.05920398 0.4504378 -0.6481413 0.1971723 0.2140569 0.582614 0.7902835
17 "SITTING" 0.07119076 0.08389216 0.1459249 -0.1594184 -0.2206163 -0.1032425 1.042219 0.04655378 -0.09265131
17 "STANDING" 0.004367299 0.0325609 -0.001621439 0.134302 0.1902889 0.02331067 0.9981354 -0.1820267 -0.2555783
17 "WALKING" 0.05372118 0.1842801 0.05695581 1.078008 0.116432 -0.3191636 1.037856 0.09960195 -0.2164793
17 "WALKING_DOWNSTAIRS" -0.1663387 0.1254139 0.05634476 -0.2091239 0.06360803 -0.08515398 0.837438 0.09146781 -0.1583172
17 "WALKING_UPSTAIRS" -0.2244431 -0.04388082 -0.0673671 0.7781465 0.55865 -0.02097077 0.7893954 -0.113498 -0.3019108
18 "LAYING" 0.02797181 -0.005756498 -0.0267956 -0.01661373 0.009603572 0.1793113 0.14851 0.9319801 0.3495688
18 "SITTING" -0.03001118 0.08833951 -0.00369389 -0.03652483 -0.1562297 0.05684238 0.8865569 0.3579692 0.2985047
18 "STANDING" -0.001316603 -0.02565401 0.0003473845 -0.01585591 -0.0225045 -0.003396775 1.016817 -0.1452626 0.09275574
18 "WALKING" 0.1214623 -0.03505685 -0.003994372 -0.04681547 0.6352513 -0.1314083 1.131391 -0.2465391 0.05681801
18 "WALKING_DOWNSTAIRS" -0.2322405 0.229006 0.0994234 -0.2824689 -0.3901817 0.0272953 0.7715912 -0.001248484 0.1672635
18 "WALKING_UPSTAIRS" -0.06673481 0.1176119 0.2226662 -0.499164 0.09778752 -0.03477342 0.9361333 -0.1228258 0.3135902
19 "LAYING" -0.009579005 -0.06611752 0.04588248 -0.6420753 -0.2593471 -0.0117339 -0.003270318 0.840926 0.5860638
19 "SITTING" -0.1386206 0.1428745 0.08429337 -0.1005567 -0.1777281 0.1478713 0.6211783 0.4749254 0.6386284
19 "STANDING" 0.02691005 0.02184922 -0.02307135 -0.07819105 -0.0566815 0.1121504 1.034614 -0.2084245 0.1181763
19 "WALKING" -0.007219942 0.2184789 0.1546568 0.47408112 -0.1876715 0.3172319 0.992835 -0.0463105 0.1615978
19 "WALKING_DOWNSTAIRS" -0.2324878 0.2368192 -0.02297926 -0.5555727 0.1317408 0.07307233 0.7673434 -0.01791156 -0.05288842
19 "WALKING_UPSTAIRS" 0.1186446 -0.4883568 -0.06771364 -0.421691 -0.7367941 -0.07996128 1.123875 -0.7279873 -0.08680767
20 "LAYING" -0.7238324 0.1757593 0.07728901 0.07270235 -0.3855093 0.278559 -0.1828203 0.8082918 0.5957497
20 "SITTING" -0.06611768 0.4287906 0.2467485 -0.01526486 -0.1679713 0.1038612 0.9260918 0.2692257 0.3456016
20 "STANDING" 0.004459296 -0.01609047 0.01441019 0.1170629 0.3448303 0.08195331 1.01362 -0.1492746 0.1187369
20 "WALKING" -0.05878924 0.1620926 -0.1511544 -1.121958 0.8424308 0.3448742 0.9268116 -0.1488261 -0.1860248
20 "WALKING_DOWNSTAIRS" 0.2484804 0.4394009 -0.04323122 -0.8832605 0.6305469 0.072634 1.2225793 0.1154723 -0.08028397
20 "WALKING_UPSTAIRS" -0.05836447 -0.4545117 -0.2109524 0.520762 -0.2354346 -0.4261441 0.9395004 -0.6996058 -0.3575238
21 "LAYING" -0.2111248 0.08025511 0.4048822 -0.4874937 -0.16625 0.2002642 0.3081491 0.8222317 0.7211133
21 "SITTING" 0.04951361 0.1235412 0.0737504 0.035337 -0.2136208 0.06226428 0.9930741 -0.05009112 -0.2636742
21 "STANDING" -0.03145153 -0.03605267 0.05068504 0.3816122 0.6901781 0.1975012 0.9908446 -0.3101948 -0.1566097
21 "WALKING" -0.1182439 -0.006213399 0.1435031 -0.3220077 0.4635701 0.3987549 0.8293162 -0.3349707 -0.1160018
21 "WALKING_DOWNSTAIRS" -0.04695498 0.07422416 0.044141 -0.1499445 0.50406 -0.05984011 0.8637656 -0.3105874 -0.2387125
21 "WALKING_UPSTAIRS" -0.06603599 0.2981434 0.01118342 0.6893322 -0.5780197 0.3242152 0.8668945 -0.05695185 -0.2585568
22 "LAYING" 0.2098351 0.05527546 -0.09174046 -0.05573095 -0.334114 0.4444766 0.007202623 0.6241363 0.8093237
22 "SITTING" -0.0309117 -0.0008396113 -0.04548868 -0.0612599 -0.1009517 0.1640421 0.8209854 0.3756927 0.4019377
22 "STANDING" 0.005145926 -0.06974296 -0.04733737 0.01477401 0.02880685 -0.01013764 1.020156 -0.2090589 0.0582997
22 "WALKING" -0.1073507 0.03123927 0.2304321 0.06299255 -0.2736717 0.0610302 0.8990973 -0.1966403 0.2976293
22 "WALKING_DOWNSTAIRS" 0.126395 -0.2716886 -0.239161 -0.1784432 0.2178675 -0.6256123 1.126179 -0.5000894 -0.1783743
22 "WALKING_UPSTAIRS" -0.1780976 -0.03850907 0.2947473 0.4945716 0.13916 -0.00322087 0.8312269 -0.2677266 0.2406382
23 "LAYING" -0.2817922 -0.008100995 0.09829067 0.02052359 -0.2921637 0.2186433 0.05070279 0.4783238 0.8477256
23 "SITTING" -0.0149616 0.0357477 0.06266323 0.01440688 0.03150801 0.03389891 1.003011 0.175388 0.08776634
23 "STANDING" 0.001919282 -0.001107348 0.01493561 0.04034909 -0.06887816 0.008065507 1.031304 0.02004078 0.02496847
23 "WALKING" -0.05426924 0.07404412 -0.1863015 -0.675177 0.01392217 0.3879356 0.9527714 -0.09562967 -0.3089024
23 "WALKING_DOWNSTAIRS" -0.250837 0.0559975 0.07989924 0.4264321 0.3251949 0.07081989 0.7459775 -0.1152011 -0.1099329
23 "WALKING_UPSTAIRS" -0.07819665 0.3537604 0.2929644 0.8934967 -0.27972 -0.1051097 0.9171341 0.1958696 0.1163983
24 "LAYING" -0.03478984 -0.04451247 0.01837692 0.1572096 -0.107919 0.3030584 0.07725653 0.7427936 0.6666984
24 "SITTING" 0.005086541 0.1389539 0.120371 0.03310584 0.01533496 0.04379924 1.012156 0.2322638 0.09642864
24 "STANDING" -0.003080593 -0.0206472 -0.003209116 0.2771891 0.1180327 0.02342208 1.02092 -0.1413893 -0.03461304
24 "WALKING" -0.1306401 -0.002556385 0.08737277 -0.0225417 0.0518463 0.4287915 0.887936 -0.04652021 -0.05779657
24 "WALKING_DOWNSTAIRS" -0.153133 0.01383555 0.07954427 0.1451708 -0.09585932 0.06484094 0.8561255 -0.05431864 -0.1149941
24 "WALKING_UPSTAIRS" -0.006676618 0.040128 0.1267641 -0.01310569 -0.07095965 -0.0005022765 1.008974 -0.07108832 -0.02262368
25 "LAYING" -0.00566239 0.008684601 0.01100601 0.02086922 -0.001035523 0.1840666 -0.02652983 0.8221424 0.6077907
25 "SITTING" -0.09084886 0.2330677 0.02198128 -0.06898289 -0.1371238 0.1063223 0.7849289 0.4738144 0.3898464
25 "STANDING" -0.02649603 0.02619559 0.03349301 0.1501581 -0.2142542 0.1303538 0.9476209 -0.1138448 0.3359989
25 "WALKING" 0.2505793 0.2345799 -0.1287399 0.08635217 -0.1410763 -0.3675022 1.190178 0.1024865 0.2606869
25 "WALKING_DOWNSTAIRS" -0.06961862 0.1311866 -0.006869058 -0.1629191 0.1259963 0.04630321 0.9160212 0.01805663 0.2662137
25 "WALKING_UPSTAIRS" 0.06926619 -0.1570883 -0.07671863 0.948234 -0.7049854 0.08897363 1.053841 -0.2667391 0.1576123
26 "LAYING" -0.4161359 -0.113166 0.1778174 0.07399307 -0.02721092 0.6017841 -0.1299285 0.7285839 0.7050359
26 "SITTING" -0.04175645 0.1166287 0.1282131 0.01823071 -0.001979259 0.1123923 0.9771052 0.1614504 0.2515105
26 "STANDING" -0.03348593 0.03487955 -0.01087275 0.4051795 0.05545299 0.2352208 1.003726 -0.01034556 0.1641175
26 "WALKING" -0.09771027 0.02205045 0.132348 0.03848769 0.0818232 0.1115951 0.9169779 -0.1289711 0.2190566
26 "WALKING_DOWNSTAIRS" -0.1272506 0.1862948 0.09938251 -0.2202415 0.258131 -0.09931107 0.8871698 0.07364448 0.1884184
26 "WALKING_UPSTAIRS" 0.08791282 -0.05425651 0.2614017 -0.612414 0.4999212 -0.1323754 1.110621 -0.1517584 0.303196
27 "LAYING" 0.03671729 -0.04125322 0.004218569 -0.0364634 -0.1110525 0.2765524 -0.02854947 0.5605506 0.8166544
27 "SITTING" -0.1736088 0.2129923 0.2374433 0.006666988 -0.1990521 0.1186482 0.7963176 0.4138051 0.4514375
27 "STANDING" 0.003671688 -0.03779627 -0.0118227 0.09849611 -0.02792279 -0.007412893 1.017912 -0.1760146 0.0231889
27 "WALKING" -0.1177967 -0.1248591 0.1590046 -0.8483476 0.3612681 0.3258312 0.8996261 -0.2875987 0.1066652
27 "WALKING_DOWNSTAIRS" 0.5658759 -0.3517641 -0.03283295 -0.6010572 0.6316465 -0.4526114 1.56207 -0.571234 -0.05545241
27 "WALKING_UPSTAIRS" 0.1599447 0.2076916 -0.103229 1.244128 -0.5550846 0.07155531 1.163789 0.02436121 -0.1979169
28 "LAYING" 0.01183443 0.1223046 -0.02119667 0.3561451 -0.0479008 -0.3198203 -0.1432558 -0.3634457 -0.9421
28 "SITTING" -0.07393122 -0.02419687 0.1118336 0.2716054 0.09095497 0.1398274 0.859649 0.08873813 0.4637557
28 "STANDING" 0.007375803 0.03771729 0.03655919 0.1331054 0.3883509 -0.01140324 1.004643 -0.2111396 0.03286248
28 "WALKING" -0.2020058 -0.2444712 -0.0360238 -0.7626888 0.5182965 0.136942 0.7794781 -0.5013304 -0.2028269
28 "WALKING_DOWNSTAIRS" -0.04445591 0.06772465 0.001019406 0.07745124 0.03935151 -0.1902375 0.9561839 -0.166781 -0.1247914
28 "WALKING_UPSTAIRS" 0.08978785 -0.06047995 -0.2702631 -0.2796873 0.3730512 0.3667759 1.077418 -0.2870843 -0.455972
29 "LAYING" -0.03209828 0.003534542 -0.01499126 0.158365 -0.2668636 0.3834017 0.02174476 0.77271 0.6591179
29 "SITTING" -0.04997391 0.2507928 0.1240074 -0.1066205 -0.07591584 0.06434702 0.9219699 0.1873628 0.3700745
29 "STANDING" -0.005372106 -0.008548256 -0.01334744 -0.09118779 -0.03591671 0.03002317 1.016472 0.04200207 0.05114116
29 "WALKING" 0.3696896 0.186116 -0.07386115 0.440738 0.1700443 -0.1029578 1.385529 0.04263755 -0.02494653
29 "WALKING_DOWNSTAIRS" -0.2075462 0.323791 0.04277764 -0.8862665 0.4166597 0.05544756 0.8071197 0.2228901 0.1446383
29 "WALKING_UPSTAIRS" -0.1529501 0.04461119 0.2853357 0.2800332 0.08723739 0.3535432 0.8655727 -0.1047715 0.384982
30 "LAYING" 0.02893521 -0.08133306 0.02056342 0.4806835 -0.2754804 0.2262369 0.06537238 0.6013769 0.7839887
30 "SITTING" -0.03565454 0.1387171 0.1693367 0.01904884 0.06446733 -0.01691631 0.977902 -0.009023889 0.2980937
30 "STANDING" -0.02618468 -0.009947129 0.07750872 0.06566796 -0.1306373 0.0680646 0.9987274 -0.06747231 0.104803
30 "WALKING" -0.2056145 -0.04162483 0.1334201 0.1002978 0.8548481 -0.02994659 0.8117995 -0.1915082 0.04234083
30 "WALKING_DOWNSTAIRS" -0.09224173 0.1817281 -0.06889384 -0.287722 0.3856957 0.04400377 0.9215528 -0.008865162 -0.0666802
30 "WALKING_UPSTAIRS" 0.008258519 0.2786442 0.07746708 0.664576 -0.3807465 -0.01962658 1.014646 0.09138317 -0.01436296
